"Country/Region","Indicator","Unit","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"China","Potential species loss from land use","micro-PDF*year","2389.83649","2402.63528","2630.79499","2796.63747","2533.11902","2882.87471","3256.42008","3212.24989","3307.12115","3513.3068","3752.93663","3983.623","4069.78221","5470.0878","5592.53044","5660.67862","5004.15969","4989.15553","6406.58686","7021.53396","7175.1602","7190.70766","7012.04743","7684.6505","8033.93021","8097.4243","7242.82321","8009.96591","8214.43406","8062.21123","8318.26679","8571.46588","8282.6459","8159.66387","8164.00333"
"United States of America","Potential species loss from land use","micro-PDF*year","4471.36642","4523.14024","4314.93828","4415.85583","4481.81603","4515.31342","4304.61575","4385.9669","4624.95708","4568.09257","5002.66172","4785.28773","4581.85722","4593.55385","4650.27171","4545.48984","4662.47109","4322.83428","4029.20991","3739.74162","3767.96688","3729.90704","3800.67414","3688.61987","3762.14538","3955.7498","3973.58342","4080.7993","4069.66938","3998.39979","3835.6223","4007.66536","3988.69187","3990.13942","3991.91306"
"EU-27","Potential species loss from land use","micro-PDF*year","5620.41229","6069.04431","5963.26363","5776.1201","5783.09815","5894.30888","5824.62403","5701.59015","5782.93884","5892.7487","5797.75711","5278.18385","5021.37306","5269.7803","5386.73393","5413.98787","5520.18057","5475.64932","5540.95568","5085.02247","4908.63215","4939.9872","4649.75533","4574.70349","4477.2887","4291.09818","4323.71615","4401.81923","4465.73136","4458.04688","4295.61739","4423.98306","4383.66878","4413.11741","4415.13861"
